"Sr No.","Id","Title","Description","Availability","Condition","Price","Link","Image Link","Brand","Google Product Category","FB Product Category","Quantity To Sell On Facebook","Sale Price","Sale Price Effective_Date","Item Group Id","Gender","Color","Size","Age_Group","Material","Pattern","Shipping","Shipping Weight","Offer Disclaimer","Offer Disclaimer Url","Video Url","Video Tag","GTIN","Product Pages","Product Tags","Style"
"1","SK2344","VASVI Women Cotton Sleeveless Straight Kurta","VASVI Women Cotton Sleeveless Katha Work Straight Kurta","Yes","No","999INR","https://vasvi.in/SK2344/vasvi-women-cotton-sleeveless-straight-kurta-696de2859df51","https://vasvi.in/uploads/products/variant_1_689c9f89c8759.jpeg","VASVI","Women","Women","9","999INR","","JJ-10002","unisex","","","","","","","0,290 grm","","","","","","","",""
"2","TP5818","Cotton Printed Top","VASVI Women Cotton Printed Top","Yes","No","599INR","https://vasvi.in/TP5818/cotton-printed-top-6974654ace316","https://vasvi.in/uploads/products/variant_17_68a70d29451b6.JPG","VASVI","Women","Women","97","599INR","","JJ-10019","unisex","","","","","","","0.290 grm","","","","","","","",""
"3","CSD6040","VASVI Women Elephant Printed Cotton Kurta Pant With Dupatta Set","VASVI Women Elephant Printed Cotton Kurta Pant With Dupatta Set","Yes","No","1799INR","https://vasvi.in/CSD6040/vasvi-women-elephant-printed-cotton-kurta-pant-with-dupatta-set-696de38525ac4","https://vasvi.in/uploads/products/variant_4_68a6fbaff2f5a.JPG","VASVI","Women","Women","100","1799INR","","JJ-10022","unisex","","","","","","","0.390 grm","","","","","","","",""
"4","CO6054","Cotton Flex Printed Co-ord Set","VASVI Women Cotton Flex Printed Co-ord Set","Yes","No","1499INR","https://vasvi.in/CO6054/cotton-flex-printed-co-ord-set-699961691ec52","https://vasvi.in/uploads/products/variant_4_68a70b4b88283.JPG","VASVI","Women","Women","99","1499INR","","JJ-10027","unisex","","","","","","","0.390 grm","","","","","","","",""
"5","CO6039","Cotton Flex Printed Co-ord Set","VASVI Women Cotton Flex Printed Co-ord Set","Yes","No","1349INR","https://vasvi.in/CO6039/cotton-flex-printed-co-ord-set-69996124326ea","https://vasvi.in/uploads/products/variant_31_68a710b5f1468.JPG","VASVI","Women","Women","100","1349INR","","JJ-10036","unisex","","","","","","","0.390 grm","","","","","","","",""
"6","CO6070","Cotton Flex Printed Co-ord Set","VASVI Women Cotton Flex Printed Co-ord Set","Yes","No","1449INR","https://vasvi.in/CO6070/cotton-flex-printed-co-ord-set-699960e8b22ec","https://vasvi.in/uploads/products/variant_4_68a714d85b26d.JPG","VASVI","Women","Women","100","1449INR","","JJ-10038","unisex","","","","","","","0.390 grm","","","","","","","",""
"7","CO6051","Cotton Flex Printed Co-ord Set","VASVI Women Cotton Flex Printed Co-ord Set","Yes","No","1399INR","https://vasvi.in/CO6051/cotton-flex-printed-co-ord-set-699960ac26686","https://vasvi.in/uploads/products/variant_11_68b1e0fd93fbb.jpg","VASVI","Women","Women","99","1399INR","","JJ-10040","unisex","","","","","","","0.390 grm","","","","","","","",""
"8","CO5964","Cotton Printed Co-ord Set","VASVI Women Cotton Printed Co-ord Set","Yes","No","999INR","https://vasvi.in/CO5964/cotton-printed-co-ord-set-6999605ba93ba","https://vasvi.in/uploads/products/variant_1_68a721a33186d.JPG","VASVI","Women","Women","100","999INR","","JJ-10041","unisex","","","","","","","0.290 grm","","","","","","","",""
"9","CSD6021","Cotton Printed Handwaork Kurta Pant With Dupatta Set","VASVI Women Cotton Printed Handwaork Kurta Pant With Dupatta Set","Yes","No","1999INR","https://vasvi.in/CSD6021/cotton-printed-handwaork-kurta-pant-with-dupatta-set-696df781d1771","https://vasvi.in/uploads/products/variant_32_68a81302c21e5.JPG","VASVI","Women","Women","100","1999INR","","JJ-10042","unisex","","","","","","","0.390 grm","","","","","","","",""
"10","CS5943","Cotton Printed Kurta Pant Set","VASVI Women Cotton Printed Kurta Pant Set","Yes","No","1399INR","https://vasvi.in/CS5943/cotton-printed-kurta-pant-set-696df9419f905","https://vasvi.in/uploads/products/variant_1_68b4317e59e62.jpg","VASVI","Women","Women","99","1399INR","","JJ-10043","unisex","","","","","","","0.390 grm","","","","","","","",""
"11","DR5944","Cotton Printed Dress","VASVI Women Cotton Printed Dress","Yes","No","899INR","https://vasvi.in/DR5944/cotton-printed-dress-69995fe976f8c","https://vasvi.in/uploads/products/variant_1_68b4321f912c9.jpg","VASVI","Women","Women","99","899INR","","JJ-10044","unisex","","","","","","","0.290 grm","","","","","","","",""
"12","DR5969","Cotton Printed Dress With Jacket","VASVI Women Cotton Printed Dress With Jacket","Yes","No","1499INR","https://vasvi.in/DR5969/cotton-printed-dress-with-jacket-69995fbd5dd2f","https://vasvi.in/uploads/products/variant_1_68b430e47c8f9.jpg","VASVI","Women","Women","99","1499INR","","JJ-10045","unisex","","","","","","","0.290 grm","","","","","","","",""
"13","DR5597","Cotton Printed Dress","VASVI Women Cotton Printed Dress","Yes","No","899INR","https://vasvi.in/DR5597/cotton-printed-dress-69995f8b87a17","https://vasvi.in/uploads/products/variant_1_68b1b2dbf131b.jpg","VASVI","Women","Women","100","899INR","","JJ-10046","unisex","","","","","","","0.290 grm","","","","","","","",""
"14","AK2430","Georgette Embrodered Angrakha with churidar set","VASVI Women Georgette Fabric Embrodered Angrakha with churidar set","Yes","No","3999INR","https://vasvi.in/AK2430/georgette-embrodered-angrakha-with-churidar-set-697337aac9c9b","https://vasvi.in/uploads/products/variant_3_68a9ae93972b6.jpg","VASVI","Women","Women","89877","3999INR","","JJ-10055","unisex","","","","","","","1300 grm","","","","","","","",""
"15","CSD5692","Cotton Printed Party Wear Kurta Pant With Dupatta Set","VASVI Women Cotton Printed Party Wear Kurta Pant With Dupatta Set","Yes","No","2699INR","https://vasvi.in/CSD5692/cotton-printed-party-wear-kurta-pant-with-dupatta-set-69a13ca5c9c9e","https://vasvi.in/uploads/products/variant_10_68a9cb4a41004.jpg","VASVI","Women","Women","99","2699INR","","JJ-10056","unisex","","","","","","","0.390 grm","","","","","","","",""
"16","CSD5772","Muslin Handwork Kurta Pant With Dupatta Set","VASVI Women Printed Regular Sequinned Kurta with Trousers & With Dupatta","Yes","No","2299INR","https://vasvi.in/CSD5772/muslin-handwork-kurta-pant-with-dupatta-set-696dfbb8562d0","https://vasvi.in/uploads/products/variant_34_68aace7ee5eda.jpg","VASVI","Women","Women","100","2299INR","","JJ-10057","unisex","","","","","","","0.390 grm","","","","","","","",""
